Issue_ID,Issue_Type,Summary,Description,Priority,Status,Component,Labels,Preconditions,Test_Steps,Expected_Result,Actual_Result,Test_Data
VWO-TC-1399,Test,Verify breadcrumb navigation is correct [Firefox 126 / Pre-prod],Test covers: Navigation. Verify breadcrumb navigation is correct. Validates correct system behavior under Pre-prod environment.,Low,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Viewer role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Navigate to a campaign
2. Open a variation
3. Check breadcrumb at top",Breadcrumb shows: Dashboard > Campaigns > [Campaign Name] > Variations,,Campaign: 'Homepage Test'
VWO-TC-1400,Test,Verify traffic split configuration for A/B test,Test covers: A/B Testing. Verify traffic split configuration for A/B test. Validates correct system behavior under Staging environment.,Low,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Viewer role)
2. Browser: Chrome 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Create new A/B test
2. Go to traffic allocation step
3. Set Control: 50%, Variation: 50%
4. Save",Traffic split saved as 50/50. Visual indicator updated.,,"Split: 50% control, 50% variation"
VWO-TC-1401,Test,Verify scroll heatmap shows fold position [Firefox 126 / Pre-prod],Test covers: Heatmaps. Verify scroll heatmap shows fold position. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Editor role)
2. Browser: Firefox 126, OS: iOS 17
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open heatmap for a page
2. Switch to 'Scroll' view",Scroll heatmap shows percentage of users who scrolled to each position. Fold line visible.,,Page: /pricing
VWO-TC-1402,Test,Verify adding multiple variations to A/B test [Chrome 124 / Production],Test covers: A/B Testing. Verify adding multiple variations to A/B test. Validates correct system behavior under Production environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open test creation
2. Add variation B and variation C
3. Set traffic 34/33/33
4. Save",Three variations saved. Traffic totals 100%. Test runs correctly.,,"3 variations, split: 34/33/33"
VWO-TC-1403,Test,Verify campaign list page loads under 2 seconds [Edge 124 / QA Environment],Test covers: Performance. Verify campaign list page loads under 2 seconds. Validates correct system behavior under QA Environment environment.,Low,To Do,Performance,"performance,load,speed","1. VWO account is active (Admin role)
2. Browser: Edge 124, OS: Android 14
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Login
2. Navigate to Campaigns
3. Measure page load time",Campaign list renders in under 2 seconds with 50+ campaigns.,,Account with 50+ campaigns
VWO-TC-1404,Test,Verify login with valid credentials,Test covers: Login & Authentication. Verify login with valid credentials. Validates correct system behavior under Production environment.,Medium,To Do,Authentication,"login,auth,security","1. VWO account is active (Team Member role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Navigate to app.vwo.com/login
2. Enter valid email {email}
3. Enter valid password {password}
4. Click 'Sign In' button",User is redirected to VWO dashboard. Welcome message displayed.,,"email: test@vwo.com, password: Test@1234"
VWO-TC-1405,Test,Verify ARIA labels on interactive elements [Chrome Mobile / Pre-prod],Test covers: Accessibility. Verify ARIA labels on interactive elements. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Accessibility,"accessibility,aria,a11y","1. VWO account is active (Admin role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open dashboard
2. Use screen reader
3. Navigate through buttons and links","All buttons, inputs, and links have descriptive ARIA labels.",,Screen reader: NVDA
VWO-TC-1406,Test,Verify revenue impact metric in test report [Firefox 126 / QA Environment],Test covers: Reports & Analytics. Verify revenue impact metric in test report. Validates correct system behavior under QA Environment environment.,High,To Do,Reports,"reports,analytics,export","1. VWO account is active (Account Owner role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open A/B test with revenue goal configured
2. Navigate to Reports
3. Check revenue impact row",Revenue impact shows estimated lift per variation with confidence interval.,,Test with revenue goal: $
VWO-TC-1407,Test,Verify 'Remember Me' checkbox on login [Edge 124 / QA Environment],Test covers: Login & Authentication. Verify 'Remember Me' checkbox on login. Validates correct system behavior under QA Environment environment.,Low,To Do,Authentication,"login,auth,security","1. VWO account is active (Viewer role)
2. Browser: Edge 124, OS: Windows 11
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to login page
2. Enter credentials
3. Check 'Remember Me'
4. Login and close browser
5. Reopen browser and navigate to app.vwo.com",User is automatically logged in without re-entering credentials.,,email: test@vwo.com
VWO-TC-1408,Test,Verify 'Remember Me' checkbox on login,Test covers: Login & Authentication. Verify 'Remember Me' checkbox on login. Validates correct system behavior under QA Environment environment.,Low,To Do,Authentication,"login,auth,security","1. VWO account is active (Viewer role)
2. Browser: Firefox 126, OS: Android 14
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to login page
2. Enter credentials
3. Check 'Remember Me'
4. Login and close browser
5. Reopen browser and navigate to app.vwo.com",User is automatically logged in without re-entering credentials.,,email: test@vwo.com
VWO-TC-1409,Test,Verify ARIA labels on interactive elements,Test covers: Accessibility. Verify ARIA labels on interactive elements. Validates correct system behavior under Production environment.,Medium,To Do,Accessibility,"accessibility,aria,a11y","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open dashboard
2. Use screen reader
3. Navigate through buttons and links","All buttons, inputs, and links have descriptive ARIA labels.",,Screen reader: NVDA
VWO-TC-1410,Test,Verify Google SSO login [Safari 17 / Pre-prod],Test covers: Login & Authentication. Verify Google SSO login. Validates correct system behavior under Pre-prod environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Editor role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Click 'Sign in with Google'
3. Select Google account
4. Authorize permissions",User logged in via Google OAuth. Redirected to VWO dashboard.,,Google account: qa@company.com
VWO-TC-1411,Test,Verify heatmap loads for a configured page,Test covers: Heatmaps. Verify heatmap loads for a configured page. Validates correct system behavior under Pre-prod environment.,Low,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Team Member role)
2. Browser: Chrome Mobile, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Heatmaps section
2. Select a configured page
3. Click 'View Heatmap'",Click heatmap renders with color gradient overlay on page screenshot.,,"Page: /home, Min clicks: 100"
VWO-TC-1412,Test,Verify creation of A/B test with URL targeting [Chrome Mobile / Staging],Test covers: A/B Testing. Verify creation of A/B test with URL targeting. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Click 'Create' > 'A/B Test'
2. Enter test name 'Homepage CTA Test'
3. Set URL: app.vwo.com/home
4. Configure variation
5. Set goals
6. Save and run",A/B test created and running. Appears in campaign list with 'Running' status.,,"URL: https://testsite.com, Variation: Change CTA color"
VWO-TC-1413,Test,Verify move heatmap tracks cursor movement [Chrome 124 / Pre-prod],Test covers: Heatmaps. Verify move heatmap tracks cursor movement. Validates correct system behavior under Pre-prod environment.,High,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Account Owner role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open heatmap
2. Toggle to 'Move' view",Move heatmap shows areas where users hovered most. Hot zones highlighted in red.,,Page with move data
VWO-TC-1414,Test,Verify password change with correct current password,Test covers: Settings & Profile. Verify password change with correct current password. Validates correct system behavior under Staging environment.,Medium,To Do,Settings,"settings,profile,account","1. VWO account is active (Account Owner role)
2. Browser: Chrome Mobile, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Go to Settings > Security
2. Enter current password
3. Enter new password 'NewPass@123'
4. Confirm new password
5. Save",Password updated. Success message shown. Old password no longer works.,,"Current: Test@1234, New: NewPass@123"
VWO-TC-1415,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under Staging environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-1416,Test,Verify campaign summary widget displays correct data [Edge 124 / QA Environment],Test covers: Dashboard. Verify campaign summary widget displays correct data. Validates correct system behavior under QA Environment environment.,Low,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: Windows 11
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Login to VWO
2. Navigate to dashboard
3. Check 'Campaign Summary' widget","Widget shows correct count of active, paused, and completed campaigns.",,Pre-configured account with 5 active campaigns
VWO-TC-1417,Test,Verify adding multiple variations to A/B test,Test covers: A/B Testing. Verify adding multiple variations to A/B test. Validates correct system behavior under Production environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Editor role)
2. Browser: Chrome 124, OS: Android 14
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open test creation
2. Add variation B and variation C
3. Set traffic 34/33/33
4. Save",Three variations saved. Traffic totals 100%. Test runs correctly.,,"3 variations, split: 34/33/33"
VWO-TC-1418,Test,Verify heatmap date range filter,Test covers: Heatmaps. Verify heatmap date range filter. Validates correct system behavior under Staging environment.,High,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Viewer role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap
2. Change date range to 'Last 7 days'
3. Apply",Heatmap refreshes showing data only for selected date range.,,Date range: last 7 days
VWO-TC-1419,Test,Verify 'Forgot Password' link is visible and functional [Chrome 124 / Production],Test covers: Login & Authentication. Verify 'Forgot Password' link is visible and functional. Validates correct system behavior under Production environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Admin role)
2. Browser: Chrome 124, OS: iOS 17
3. Environment: Production
4. User is logged in to app.vwo.com","1. Navigate to login page
2. Click 'Forgot Password' link
3. Enter registered email
4. Click 'Send Reset Link'",Password reset email sent. Confirmation message displayed.,,email: test@vwo.com
VWO-TC-1420,Test,Verify date range filter on dashboard [Firefox 126 / Production],Test covers: Dashboard. Verify date range filter on dashboard. Validates correct system behavior under Production environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Team Member role)
2. Browser: Firefox 126, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open dashboard
2. Click date range picker
3. Select custom range: last 30 days
4. Apply filter",All dashboard widgets refresh and show data for selected range.,,Date range: last 30 days
VWO-TC-1421,Test,Verify Google SSO login,Test covers: Login & Authentication. Verify Google SSO login. Validates correct system behavior under QA Environment environment.,Medium,To Do,Authentication,"login,auth,security","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: Ubuntu 22.04
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Click 'Sign in with Google'
3. Select Google account
4. Authorize permissions",User logged in via Google OAuth. Redirected to VWO dashboard.,,Google account: qa@company.com
VWO-TC-1422,Test,Verify scroll heatmap shows fold position,Test covers: Heatmaps. Verify scroll heatmap shows fold position. Validates correct system behavior under Staging environment.,Medium,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Team Member role)
2. Browser: Edge 124, OS: Windows 11
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap for a page
2. Switch to 'Scroll' view",Scroll heatmap shows percentage of users who scrolled to each position. Fold line visible.,,Page: /pricing
VWO-TC-1423,Test,Verify API key generation,Test covers: API & Integrations. Verify API key generation. Validates correct system behavior under QA Environment environment.,Low,To Do,Integrations,"api,integration,webhook","1. VWO account is active (Editor role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to Settings > API
2. Click 'Generate API Key'
3. Copy key",Unique API key generated and displayed. Option to copy or revoke.,,N/A
VWO-TC-1424,Test,Verify heatmap device filter (desktop/mobile/tablet) [Firefox 126 / Staging],Test covers: Heatmaps. Verify heatmap device filter (desktop/mobile/tablet). Validates correct system behavior under Staging environment.,High,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Viewer role)
2. Browser: Firefox 126, OS: Ubuntu 22.04
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap
2. Click device filter dropdown
3. Select 'Mobile'",Heatmap updates to show only mobile user data. Page screenshot changes to mobile viewport.,,Mixed device traffic data
VWO-TC-1425,Test,Verify heatmap loads for a configured page [Safari 17 / QA Environment],Test covers: Heatmaps. Verify heatmap loads for a configured page. Validates correct system behavior under QA Environment environment.,Medium,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to Heatmaps section
2. Select a configured page
3. Click 'View Heatmap'",Click heatmap renders with color gradient overlay on page screenshot.,,"Page: /home, Min clicks: 100"
VWO-TC-1426,Test,Verify goal configuration for A/B test [Firefox 126 / Pre-prod],Test covers: A/B Testing. Verify goal configuration for A/B test. Validates correct system behavior under Pre-prod environment.,Low,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Firefox 126, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Create A/B test
2. Go to Goals step
3. Add goal: 'Click on CTA button'
4. Configure goal URL
5. Save",Goal saved. Test tracks clicks on CTA as conversion events.,,"Goal type: Click, Element: #cta-btn"
VWO-TC-1427,Test,Verify notification bell shows unread count [Safari 17 / Pre-prod],Test covers: Dashboard. Verify notification bell shows unread count. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login to VWO
2. Observe notification bell icon in header",Bell shows numeric badge with count of unread notifications.,,Account with 3 unread notifications
VWO-TC-1428,Test,Verify password change with correct current password [Edge 124 / Production],Test covers: Settings & Profile. Verify password change with correct current password. Validates correct system behavior under Production environment.,High,To Do,Settings,"settings,profile,account","1. VWO account is active (Admin role)
2. Browser: Edge 124, OS: Ubuntu 22.04
3. Environment: Production
4. User is logged in to app.vwo.com","1. Go to Settings > Security
2. Enter current password
3. Enter new password 'NewPass@123'
4. Confirm new password
5. Save",Password updated. Success message shown. Old password no longer works.,,"Current: Test@1234, New: NewPass@123"
VWO-TC-1429,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under Production environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Edge 124, OS: Android 14
3. Environment: Production
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-1430,Test,Verify scroll heatmap shows fold position [Chrome 124 / Staging],Test covers: Heatmaps. Verify scroll heatmap shows fold position. Validates correct system behavior under Staging environment.,High,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Account Owner role)
2. Browser: Chrome 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap for a page
2. Switch to 'Scroll' view",Scroll heatmap shows percentage of users who scrolled to each position. Fold line visible.,,Page: /pricing
VWO-TC-1431,Test,Verify login with unregistered email [Firefox 126 / Staging],Test covers: Login & Authentication. Verify login with unregistered email. Validates correct system behavior under Staging environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Admin role)
2. Browser: Firefox 126, OS: Windows 11
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Enter unregistered email 'notexist@vwo.com'
3. Enter any password
4. Click 'Sign In'",Error: 'No account found with this email'. Login blocked.,,"email: notexist@vwo.com, password: Test@1234"
VWO-TC-1432,Test,Verify filter recordings by page URL [Safari 17 / QA Environment],Test covers: Session Recordings. Verify filter recordings by page URL. Validates correct system behavior under QA Environment environment.,Medium,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Go to Recordings
2. Click filter
3. Enter URL contains '/pricing'
4. Apply",Only recordings where user visited /pricing page are shown.,,Filter: URL contains /pricing
VWO-TC-1433,Test,Verify notification bell shows unread count,Test covers: Dashboard. Verify notification bell shows unread count. Validates correct system behavior under Staging environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Team Member role)
2. Browser: Firefox 126, OS: Windows 11
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Login to VWO
2. Observe notification bell icon in header",Bell shows numeric badge with count of unread notifications.,,Account with 3 unread notifications
VWO-TC-1434,Test,Verify notification bell shows unread count,Test covers: Dashboard. Verify notification bell shows unread count. Validates correct system behavior under Pre-prod environment.,Low,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Editor role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login to VWO
2. Observe notification bell icon in header",Bell shows numeric badge with count of unread notifications.,,Account with 3 unread notifications
VWO-TC-1435,Test,Verify campaign list page loads under 2 seconds [Chrome Mobile / Staging],Test covers: Performance. Verify campaign list page loads under 2 seconds. Validates correct system behavior under Staging environment.,Medium,To Do,Performance,"performance,load,speed","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Login
2. Navigate to Campaigns
3. Measure page load time",Campaign list renders in under 2 seconds with 50+ campaigns.,,Account with 50+ campaigns
VWO-TC-1436,Test,Verify sidebar collapses on click [Edge 124 / Production],Test covers: Navigation. Verify sidebar collapses on click. Validates correct system behavior under Production environment.,Low,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Admin role)
2. Browser: Edge 124, OS: Windows 11
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login to VWO
2. Click the sidebar collapse/expand icon",Sidebar collapses to icon-only view. Main content area expands.,,N/A
VWO-TC-1437,Test,Verify CSRF token present in form submissions,Test covers: Security. Verify CSRF token present in form submissions. Validates correct system behavior under QA Environment environment.,Low,To Do,Security,"security,xss,csrf","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: Android 14
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Login
2. Submit any form
3. Inspect network request headers",CSRF token present in request headers or form payload.,,Chrome DevTools Network tab
VWO-TC-1438,Test,Verify conversion rate widget chart renders correctly [Safari 17 / Production],Test covers: Dashboard. Verify conversion rate widget chart renders correctly. Validates correct system behavior under Production environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: iOS 17
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login
2. Go to dashboard
3. Find conversion rate chart widget
4. Hover over data points",Line chart renders. Hover tooltips show date and conversion % values.,,Account with 30-day conversion data
VWO-TC-1439,Test,Verify confidence level indicator in test results [Chrome 124 / Staging],Test covers: A/B Testing. Verify confidence level indicator in test results. Validates correct system behavior under Staging environment.,Low,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Chrome 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open completed A/B test
2. View results section
3. Check confidence level indicator",Confidence percentage displayed. Visual indicator shows statistical significance.,,Test with sufficient sample size
VWO-TC-1440,Test,Verify pausing a running A/B test,Test covers: A/B Testing. Verify pausing a running A/B test. Validates correct system behavior under Pre-prod environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Viewer role)
2. Browser: Chrome Mobile, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Click 'Pause' button
3. Confirm dialog",Test status changes to 'Paused'. Variations stop serving.,,Running test: 'Homepage CTA Test'
VWO-TC-1441,Test,Verify confidence level indicator in test results [Chrome 124 / QA Environment],Test covers: A/B Testing. Verify confidence level indicator in test results. Validates correct system behavior under QA Environment environment.,Low,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Admin role)
2. Browser: Chrome 124, OS: Windows 11
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open completed A/B test
2. View results section
3. Check confidence level indicator",Confidence percentage displayed. Visual indicator shows statistical significance.,,Test with sufficient sample size
VWO-TC-1442,Test,Verify scroll heatmap shows fold position [Safari 17 / Staging],Test covers: Heatmaps. Verify scroll heatmap shows fold position. Validates correct system behavior under Staging environment.,Low,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Account Owner role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap for a page
2. Switch to 'Scroll' view",Scroll heatmap shows percentage of users who scrolled to each position. Fold line visible.,,Page: /pricing
VWO-TC-1443,Test,Verify Google SSO login [Chrome Mobile / Pre-prod],Test covers: Login & Authentication. Verify Google SSO login. Validates correct system behavior under Pre-prod environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Account Owner role)
2. Browser: Chrome Mobile, OS: iOS 17
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Click 'Sign in with Google'
3. Select Google account
4. Authorize permissions",User logged in via Google OAuth. Redirected to VWO dashboard.,,Google account: qa@company.com
VWO-TC-1444,Test,Verify heatmap date range filter [Chrome 124 / Staging],Test covers: Heatmaps. Verify heatmap date range filter. Validates correct system behavior under Staging environment.,Low,To Do,Heatmaps,"heatmap,analytics,recordings","1. VWO account is active (Editor role)
2. Browser: Chrome 124, OS: macOS Sonoma
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open heatmap
2. Change date range to 'Last 7 days'
3. Apply",Heatmap refreshes showing data only for selected date range.,,Date range: last 7 days
VWO-TC-1445,Test,Verify quick action buttons on dashboard,Test covers: Dashboard. Verify quick action buttons on dashboard. Validates correct system behavior under QA Environment environment.,High,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Editor role)
2. Browser: Firefox 126, OS: Ubuntu 22.04
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Login to VWO
2. On dashboard, click 'Create Test' quick action
3. Observe behavior",Test creation wizard opens.,,N/A
VWO-TC-1446,Test,Verify sidebar collapses on click [Safari 17 / Production],Test covers: Navigation. Verify sidebar collapses on click. Validates correct system behavior under Production environment.,High,To Do,Navigation,"navigation,sidebar,ui","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login to VWO
2. Click the sidebar collapse/expand icon",Sidebar collapses to icon-only view. Main content area expands.,,N/A
VWO-TC-1447,Test,Verify Google SSO login [Edge 124 / Pre-prod],Test covers: Login & Authentication. Verify Google SSO login. Validates correct system behavior under Pre-prod environment.,High,To Do,Authentication,"login,auth,security","1. VWO account is active (Team Member role)
2. Browser: Edge 124, OS: Ubuntu 22.04
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to app.vwo.com/login
2. Click 'Sign in with Google'
3. Select Google account
4. Authorize permissions",User logged in via Google OAuth. Redirected to VWO dashboard.,,Google account: qa@company.com
VWO-TC-1448,Test,Verify campaign summary widget displays correct data,Test covers: Dashboard. Verify campaign summary widget displays correct data. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Viewer role)
2. Browser: Edge 124, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Login to VWO
2. Navigate to dashboard
3. Check 'Campaign Summary' widget","Widget shows correct count of active, paused, and completed campaigns.",,Pre-configured account with 5 active campaigns
VWO-TC-1449,Test,Verify quick action buttons on dashboard [Firefox 126 / Production],Test covers: Dashboard. Verify quick action buttons on dashboard. Validates correct system behavior under Production environment.,Medium,To Do,Dashboard,"dashboard,ui,widgets","1. VWO account is active (Team Member role)
2. Browser: Firefox 126, OS: macOS Sonoma
3. Environment: Production
4. User is logged in to app.vwo.com","1. Login to VWO
2. On dashboard, click 'Create Test' quick action
3. Observe behavior",Test creation wizard opens.,,N/A
VWO-TC-1450,Test,Verify creation of A/B test with URL targeting,Test covers: A/B Testing. Verify creation of A/B test with URL targeting. Validates correct system behavior under Pre-prod environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Team Member role)
2. Browser: Safari 17, OS: macOS Sonoma
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Click 'Create' > 'A/B Test'
2. Enter test name 'Homepage CTA Test'
3. Set URL: app.vwo.com/home
4. Configure variation
5. Set goals
6. Save and run",A/B test created and running. Appears in campaign list with 'Running' status.,,"URL: https://testsite.com, Variation: Change CTA color"
VWO-TC-1451,Test,Verify password change with correct current password,Test covers: Settings & Profile. Verify password change with correct current password. Validates correct system behavior under Pre-prod environment.,Medium,To Do,Settings,"settings,profile,account","1. VWO account is active (Viewer role)
2. Browser: Chrome 124, OS: Android 14
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Go to Settings > Security
2. Enter current password
3. Enter new password 'NewPass@123'
4. Confirm new password
5. Save",Password updated. Success message shown. Old password no longer works.,,"Current: Test@1234, New: NewPass@123"
VWO-TC-1452,Test,Verify session recording speed controls,Test covers: Session Recordings. Verify session recording speed controls. Validates correct system behavior under Staging environment.,Low,To Do,Session Recordings,"recordings,sessions,replay","1. VWO account is active (Admin role)
2. Browser: Safari 17, OS: Android 14
3. Environment: Staging
4. User is logged in to app.vwo.com","1. Open a recording
2. Click speed control
3. Select 2x speed",Recording plays at 2x speed. Speed indicator updates.,,Recording: 3 min session
VWO-TC-1453,Test,Verify stopping an A/B test,Test covers: A/B Testing. Verify stopping an A/B test. Validates correct system behavior under Pre-prod environment.,Medium,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Viewer role)
2. Browser: Safari 17, OS: Windows 11
3. Environment: Pre-prod
4. User is logged in to app.vwo.com","1. Open a running test
2. Click 'Stop'
3. Select winner variation
4. Confirm",Test stops. Winner variation noted. Status: 'Completed'.,,Running test with 2 variations
VWO-TC-1454,Test,Verify test statistics update in real time [Chrome Mobile / QA Environment],Test covers: A/B Testing. Verify test statistics update in real time. Validates correct system behavior under QA Environment environment.,Low,To Do,AB Testing,"ab-test,campaigns,experiment","1. VWO account is active (Account Owner role)
2. Browser: Chrome Mobile, OS: Android 14
3. Environment: QA Environment
4. User is logged in to app.vwo.com","1. Open a running A/B test
2. Observe statistics panel
3. Wait 60 seconds
4. Refresh stats","Visitor count, conversions, and conversion rate update with latest data.",,Test with live traffic
